scene,SOD_valid_pixels,SOD_f1_percent,SOD_mIoU_percent,SOD_OA_percent
S1A_EW_GRDM_1SDH_20210111T121412_20210111T121512_036090_043AEF_1542,42638562,76.408,18.44,64.057
S1A_EW_GRDM_1SDH_20210726T114134_20210726T114234_038948_049880_7BAA,31449490,98.919,19.572,97.862
S1A_EW_GRDM_1SDH_20241007T115018_20241007T115122_055996_06D91F_01E5,51074847,99.81,19.924,99.621
S1A_EW_GRDM_1SDH_20241014T114112_20241014T114212_056098_06DD28_5338,37819622,99.238,32.829,98.488
S1A_EW_GRDM_1SDH_20241027T122239_20241027T122339_056288_06E4AB_CD6E,53395422,99.673,24.837,99.347
S1A_EW_GRDM_1SDH_20241103T121428_20241103T121528_056390_06E8B0_DDCC,53437790,100,50,100
S1A_EW_GRDM_1SDH_20241110T120525_20241110T120625_056492_06ECC7_D5F5,39092350,95.741,35.142,95.935
S1A_EW_GRDM_1SDH_20241110T120625_20241110T120725_056492_06ECC7_0C14,52834897,100,50,99.999
S1A_EW_GRDM_1SDH_20241118T123901_20241118T124001_056609_06F175_367D,32882150,98.614,30.281,98.252
S1A_EW_GRDM_1SDH_20241125T123040_20241125T123140_056711_06F58C_035C,45483000,98.248,46.521,98.238
S1A_EW_GRDM_1SDH_20241202T122238_20241202T122338_056813_06F98F_AE58,53328066,91.086,35.852,92.029
S1A_EW_GRDM_1SDH_20250126T121422_20250126T121522_057615_071952_3231,46840555,89.291,22.183,83.123
S1A_EW_GRDM_1SDH_20250202T120519_20250202T120619_057717_071D5F_FAB6,20469520,34.442,10.715,48.162
S1A_EW_GRDM_1SDH_20250202T120619_20250202T120719_057717_071D5F_9949,38292532,81.288,17.287,68.674
S1A_EW_GRDM_1SDH_20250210T123855_20250210T123955_057834_072206_C4E6,31086371,76.394,27.278,78.06
S1A_EW_GRDM_1SDH_20250217T123034_20250217T123134_057936_072626_10CC,2447110,0,0,0
S1A_EW_GRDM_1SDH_20250224T122232_20250224T122332_058038_072A50_190D,23538503,93.455,20.368,93.96
S1A_EW_GRDM_1SDH_20250303T121420_20250303T121520_058140_072E73_3856,51077705,87.969,43.486,87.931
S1A_EW_GRDM_1SDH_20250318T123855_20250318T123955_058359_073735_69B1,31948880,87.653,46.903,88.514
S1A_EW_GRDM_1SDH_20250324T115010_20250324T115114_058446_073AAE_007F,47005690,99.365,27.434,99.498
S1A_EW_GRDM_1SDH_20250331T114105_20250331T114205_058548_073ECE_7FBC,24944437,85.131,20.118,76.068
S1A_EW_GRDM_1SDH_20250331T114205_20250331T114305_058548_073ECE_C265,35776230,83.768,18.018,72.07
S1A_EW_GRDM_1SDH_20250407T113324_20250407T113424_058650_0742FC_AB42,9612890,2.255,0.38,1.14
S1A_EW_GRDM_1SDH_20250413T122232_20250413T122332_058738_07468E_5E1F,41687060,42.147,12.186,54.411
S1A_EW_GRDM_1SDH_20250420T121421_20250420T121521_058840_074AB3_82C3,35341820,99.988,49.988,99.975
S1A_EW_GRDM_1SDH_20250429T115011_20250429T115115_058971_075016_7CE6,36405023,98.651,19.467,97.337
S1A_EW_GRDM_1SDH_20250505T123855_20250505T123955_059059_075385_28EE,2648023,50.603,11.29,33.871
S1A_EW_GRDM_1SDH_20250512T123034_20250512T123134_059161_075737_8389,6004862,0.245,0.105,0.123
S1A_EW_GRDM_1SDH_20250519T122232_20250519T122332_059263_075AAE_6A34,37236550,15.322,24.505,13.853
S1A_EW_GRDM_1SDH_20250526T121421_20250526T121521_059365_075E49_966D,44814010,73.935,23.939,59.062
S1A_EW_GRDM_1SDH_20250602T120518_20250602T120618_059467_0761D4_2CD1,12299996,2.86,15.635,2.117
S1A_EW_GRDM_1SDH_20250602T120618_20250602T120718_059467_0761D4_B7FA,50189111,0,0,0
S1A_EW_GRDM_1SDH_20250609T115800_20250609T115900_059569_076546_87DA,33375242,38.756,6.038,24.046
S1A_EW_GRDM_1SDH_20250616T115009_20250616T115113_059671_0768CB_280F,27683574,25.493,21.491,17.808
S1A_EW_GRDM_1SDH_20250623T114103_20250623T114203_059773_076C4F_7C61,30302265,93.043,24.323,93.614
S1A_EW_GRDM_1SDH_20250623T114203_20250623T114303_059773_076C4F_D64B,16276130,12.047,6.075,12.486
S1A_EW_GRDM_1SDH_20250630T113321_20250630T113421_059875_076FE9_3EDF,8195300,43.085,20.83,55.413
S1A_EW_GRDM_1SDH_20250701T121319_20250701T121419_059890_077067_8471,21536292,86.327,22.275,85.663
S1A_EW_GRDM_1SDH_20250706T122230_20250706T122330_059963_0772DD_1C1D,50212610,99.518,33.014,99.041
S1A_EW_GRDM_1SDH_20250713T121318_20250713T121426_060065_077668_575C,33699300,98.985,19.598,97.991
S1A_EW_GRDM_1SDH_20250728T123852_20250728T123952_060284_077DF0_5812,33768184,96.498,18.647,93.233
