epoch,sod_0,sod_1,sod_2,sod_3,sod_4,sod_mask
0,152254749,117975503,24991,0,0,149175157
0,72311061,50660574,92072281,50357062,50812593,103216829
1,73649834,52316369,91261600,50642099,48801564,102758934
2,74827221,51260276,92441200,49734873,47584757,103582073
3,74554680,53223061,89539261,52330103,46782343,103000952
4,71474299,53373453,90499496,52276414,47136826,104669912
5,70299753,51864535,89019749,54753992,49214035,104278336
6,72668609,53033633,89241335,52041237,47883939,104561647
7,73267259,52642929,90381872,52311814,46849917,103976609
8,71050391,53259791,91266384,52125070,48727101,103001663
9,72995177,53198427,88216289,52294397,49131861,103594249
10,72743719,52454316,88484600,53464629,48150821,104132315
11,73587013,51875639,89597267,52171099,48316905,103882477
12,73303611,51907364,88271218,51514223,49889870,104544114
13,72523488,49861575,92596902,52709807,48843106,102895522
14,68989177,51842605,89770063,52500822,51275101,105052632
15,73900561,53284668,89524084,50608368,48354701,103758018
16,73266563,52632956,90674371,51179357,48348202,103328951
17,74556331,53151132,90441323,52428523,46532132,102320959
18,73472201,52148582,88353361,52280201,48996470,104179585
19,72467275,53512225,89765381,49774050,50437621,103473848
20,75790896,49548148,88979570,50752237,51069641,103289908
21,71944247,52546467,92696147,50086133,49769398,102388008
22,74819061,50719596,88508898,51272410,49948464,104161971
